Acolyte; Medium humanoid (any race); any alignment; 10; ; 9; 2d8; 30 ft.; 10; 10; 10; 10; 14; 11; ; Medicine +4, Religion +2; ; ; ; passive Perception 10; any one language (usually Common); 1/4; 50; ; Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target.<br>Hit: 2 (1d4) bludgeoning damage.; ; Spellcasting.The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with <br>spell attacks). The acolyte has following cleric spells prepared:<br>Cantrips (at will): light, sacred flame, thaumaturgy<br>1st level (3 slots): bless, cure wounds, sanctuary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbed Devil; Medium fiend (devil); lawful evil; 15; natural; 110; 13d8+52; 30 ft.; 16; 17; 18; 12; 14; 14; Str+6, Con+7, Wis+5, Cha+5; Deception +5, Insight +5, Perception +8; cold, bludgeoning, piercing and slashing from nonmagical weapons that aren't silvered; fire, poison; poisoned; darkvision 120ft., PP18; Infernal, telepathy 120ft; 5; 1800; ; Multiattack. The devil makes three melee attacks: one with its tail and two with its claws. Alternatively, it can use Hurl Flame twice.<br><br>Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.<br><br>Tail. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage.<br><br>Hurl Flame. Ranged Spell Attack: +5 to hit, range 150 ft., one target. Hit: 10 (3d6) fire damage. If the target is a flammable object that isn't being worn or carried, it also catches fire.; ; Barbed Hide. At the start of each of its turns, the barbed devil deals 5 (1d10) piercing damage to any creature grappling it.<br><br>Devil's Sight. Magical darkness doesn't impede the devil's darkvision.<br><br>Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berserker; Medium humanoid (any race); any chaotic alignment; 13; hide armor; 67; 9d8+27; 30 ft.; 16; 12; 17; 9; 11; 9; ; ; ; ; ; passive Perception 10; any one Language (usually Common); 2; 450; ; Greataxe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target.<br>Hit:9 (1d12 + 3) slashing damage.; ; Reckless. At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Bear; Medium beast; unalinged;11; natural armor;19; 3d8 + 6; 40ft, climb 30ft;15;10;14;2;12;7; ; Perception +3; ; ; ; PP 13; ; 1/2;100; ; <b>Multiattack.</b> The bear makes two attacks: one with its bite and one with its claws.<br><br><b>Bite.</b> <i>Melee Weapon Attack:</i> +3 to hit, reach 5ft, one target. <i>Hit:</i> 5 (1d6 +2) piercing damage.<br><br><b>Claws.</b> <i>Melee Weapon Attack:</i> +3 to hit, reach 5ft, one target. <i>Hit:</i> 7 (2d4 + 2) slashing damage.; ; <b>Keen Smell.</b> The bear has advantage on WIS (Perception) checks that rely on smell.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blagothkus; Huge Giant; neutral evil; 17; splint; 138; 12d12+60; 40 ft.; 26; 13; 20; 16; 15; 15; Con +9, Wis +6, Cha +6; Arcana +7, Insight +6, Intimidation +6, Perception +6; ; ; ; passive Perception 16; Common, Draconic, Giant; 9; 5,000; ; Multiattack. <br>Blagothkus attacks twice with his morningstar.<br>Morningstar. <br> Melee Weapon Attack:+10 to hit, reach 10 ft., one target. <br>Hit:21 (3d8 + 8) piercing damage.; ; Keen Smell. <br>Blagothkus has advantage on Wisdom (Perception) checks that rely on smell.<br>Innate Spellcasting. <br>Blagothkus can innately cast the following spells (spell save DC 15), requiring no material components:<br>3/day each: fog cloud, levitate<br>Spellcasting. <br>Blagothkus is a 5th-level Spellcaster that uses Intelligence as his spellcasting ability (spell save DC 15, +7 to hit with spell attacks). Blagothkus has the following spells <br>prepared from the wizard spell list:<br>Cantrips (at will): light, mage hand, prestidigitation<br>1st level (4 slots): detect magic, identify, magic missile, shield<br>2nd level (3 slots): gust of wind, misty step, shatter<br>3rd level (2 slots): fly, lightning bolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Hawk; Small beast; unaligned; 12; ; 7; (2d6); 10 ft., fly 60 ft.; 6; 14; 10; 3; 14; 5; ; Perception +4; ; ; ; passive Perception 14; ; 1/8; 25; Keen Sight. The hawk has advantage on Wisdom (Perception) checks that rely on sight.<br><br>Pack Tactics. The hawk has advantage on an attack roll against a creature if at least one of the hawk's allies is within 5 feet of the creature and thy ally isn't incapacitated.; Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.; ; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone Devil; Large fiend (devil); lawful evil; 19; natural; 142; 15d10+60; 40ft., fly 40ft.; 18; 16; 18; 13; 14; 16; Int +5, Wis +6, Cha +7; Deception +7, Insight +6; cold, bludgeoning, piercing, and slashing  from nonmagical weapons that aren't silvered; fire, poison; poisoned; darkvision 120ft., PP12; Infernal, telepathy 120ft; 9; 5000; ; Multiattack. The devil makes three attacks: two with its claws and one with its sting.<br><br>Claw. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 8 (1d8 + 4) slashing damage.<br><br>Sting. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 13 (2d8 + 4) piercing damage plus 17 (5d6) poison damage, and the target must succeed on a DC 14 Constitution saving throw or become poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.; ; Devil's Sight. Magical darkness doesn't impede the devil's<br>darkvision.<br><br>Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullywug; Medium humanoid (bullywug); neutral evil; 15; hide armor, shield; 11; 2d8+2; 20ft., swim 40ft.; 12; 12; 13; 7; 10; 7; ; Stealth +3; ; ; ; passive Perception 10; Bullywug; 1/4; 50; ; Multiattack. The bullywug makes two melee attacks: one with its bite and one with its spear.<br>Bite. Melee Weapon Attack:+3 to hit, reach 5 ft., one target. <br>Hit:3 (1d4 + 1) bludgeoning damage.<br>Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. Or range 20/60 ft., one target.<br>Hit:4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.<br>; ; Amphibious.The bullywug can breathe air and water.<br>Speak with Frogs and Toads.The bullywug can communicate simple concepts to frogs and toads when it speaks in Bullywug.<br>Swamp Camouflage. The bullywug has advantage on Dexterity (Stealth) checks made to hide in swampy terrain.<br>Standing Leap. The bullywug's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain Othelstan; Medium Humanoid; lawful evil; 19; splint, shield; 93; 11d10+33; 30 ft.; 19; 10; 16; 13; 14; 12; Str +7. Con +6; Athletics +7, Intimidation +4, Perception +5, Religion +4; ; ; ; passive Perception 15; Common, Draconic, Giant; 5; 1,800; ; Multiattack. Othelstan attacks twice with his flail or spear, or makes two ranged attacks with his spears.<br>Flail. Melee Weapon Attack: +7to hit, reach 5 ft., one target.<br>Hit:8 ( 1d8 + 4) bludgeoning damage.<br>Spear. Melee or Ranged Weapon Attack:+7 to hit, reach 5 ft. or ranged 20 ft./60 ft., one target. <br>Hit: 7 ( 1d6 + 4) piercing damage.; ; Action Surge (Recharges when Othelstan Finishes a Short or Long Rest). On his turn, Othelstan can take one additional action.<br>Tiamat's Blessing of Retribution.When Othelstan takes damage that reduces him to 0 hit points, he immediately <br>regains 20 hit points. If he has 20 hit points or fewer at the end of his next turn, he dies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrion Crawler; Large monstrosity; unaligned; 13; natural amor; 51; 6d10+18; 30 ft.,climb 30ft.; 14; 13; 16; 1; 12; 5; ; Perception +3; ; ; ; darkvision 60 ft., passive Perception 13; --; 2; 450; ; Multiattack. The carrion crawler makes two attacks: one with its tentacles and one with its bite.<br><br>Tentacles. Melee Weapon Attack: +8 to hit, reach 10ft., one creature. Hit: 4 (1 d4 + 2) poison damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. Until this poison ends, the target is paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the poison on itself on a success.<br><br>Bite. Melee Weapon Attack: +4 to hit, reach 5 ft ., one target. Hit: 7 (2d4 + 2) piercing damage.; ; Keen Smell. The carrion crawler has advantage on Wisdom<br>(Perception) checks that rely on smell.<br><br>Spider Climb. The carrion crawler can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chasme; Large fiend (demon); chaotic evil; 15; naturall; 84; 13d10+13; 20ft., fly 60ft.; 15; 15; 12; 11; 14; 10; Dex +5, Wis +4, Cha +25; Perception +5; cold, fire, lightning; poison; poisoned; blindsight 10ft.,dark vision 120ft. passive perception 15; Abyssal, telepathy 120ft.; 6; 2300,300; ; Proboscis. Melee Weapon Attack: +5 to hit, reach 5 ft ., one creature. Hit: 16 (4d6 + 2) piercing damage plus 24 (7d6) necrotic damage, and the target's hit point maximum is reduced by an amount equal to the necrotic damage taken. If this effect reduces a creature's hit point maximum to 0, the creature dies. This reduction to a creature's hit point maximum lasts unti l the creature finishes a long rest or until it is affected by a spell like greater restoration .; ; Drone. The chasme produces a horrid droning sound to<br>which demons are immune. Any other creature that starts its<br>turn with in 30 feet of the chasme must succeed on a DC 12<br>Constitution saving throw or fall unconscious for 10 minutes.<br>A creature that can't hear the drone automaticall y succeeds on the save. The effect on the creature ends if it takes damage or if another creature takes an action to splash it with holy water. If a creature's saving throw is successful or the effect ends for it, it is immune to the drone for the next 24 hours .<br><br>Magic Resistance. The chasme has advantage on saving throws against spells and other magical effects.<br><br>Spider Climb. The chasme can climb difficult surfaces,<br>including upside down on ce ilin gs, without needing to make an ability check.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuul; Large aberration; chaotic evil; 16; natural; 93; 11d10+33; 30ft., swim 30 ft.; 19; 10; 16; 5; 11; 5; ; Perception +4; ; poison; poisoned; darkvision 60ft., PP14; understands Deep Speech but can't speak; 4; 1100; ; Multiattack. The chuul makes two pincer attacks. If the chuul is grappling a creature, the chuul can also use its tentacles once.<br><br>Pincer. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage. The target is grappled (escape DC 14) if it is a Large or smaller creature and the chuul doesn't have two other creatures grappled.<br><br>Tentacles. One creature grappled by the chuul must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. Until this poison ends, the target is paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.; ; Amphibious. The chuul can breathe air and water.<br><br>Sense Magic. The chuul senses magic within 120 feet of it at will. This trait otherwise works like the detect magic spell but isn't itself magical.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commoner; Medium humanoid (any race); any alignment; 10; ; 4; 1d8; 30 ft.; 10; 10; 10; 10; 10; 10; ; ; ; ; ; passive Perception 10; any one Language (usually Common); 0; 10; ; Club. Melee Weapon Attack:+2 to hit, reach 5 ft., one target. <br>Hit: 2 (1d4) bludgeoning damage.; ;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocodile; Large beast; unaligned; 12; natural armor; 19; 3d10+3; 20 ft., swim 30 ft.; 15; 10; 13; 2; 10; 5; ; Stealth +2; ; ; ; passive Perception 10; ; 1/2; 100; ; Bite. Melee Weapon Attack:+4 to hit, reach 5 ft., one creature. <br>Hit:7 (1d10 + 2) piercing damage, and the target is grappled (escape DC 12). Until this grapple ends, the target is restrained, and the crocodile can't bite another target.<br>; ; Hold Breath. The crocodile can hold its breath for 15 minutes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cult Fanatic; Medium humanoid (any race); any non-good alignment; 13; leather; 33; 6d8+6; 30 ft.; 11; 14; 12; 10; 13; 14; ; Deception +4, Persuasion +4, Religion +2; ; ; ; PP 10; any one language (usually Common); 2; 450; ; Multiattack. The fanatic makes two melee attacks.<br><br>Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one creature. Hit: 4 (1d4 + 2) piercing damage.; ; Dark Devotion. The fanatic has advantage on saving throws against being charmed or frightened.<br><br>Spellcasting. The fanatic is a 4th-level spellcaster. Its<br>spellcasting ability is Wisdom (spell save DC 11, +3 to hit with spell attacks). The fanatic has the following cleric spells prepared:<br>Cantrips (at will): light, sacred flame, thaumaturgy<br>1st level (4 slots): command, inflict wounds, shield of faith<br>2nd level (3 slots): hold person, spiritual weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cultist; Medium humanoid (any race); any non-good alignment; 12; leather armor; 9; 2d8; 30 ft.; 11; 12; 10; 10; 11; 10; ; Deception +2, Religion +2; ; ; ; passive Perception 10; any one language (usually Common); 1/8; 25; ; Scimitar. Melee Weapon Attack:+3 to hit, reach 5 ft., one creature. <br>Hit:4 (1d6 + 1) slashing damage.; ; Dark Devotion.The cultist has advantage on saving throws against being charmed or frightened.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclops; Huge giant; chaotic neutral; 14; natural; 138; 12d12+60; 30ft; 22; 11; 20; 8; 6; 10; ; ; ; ; ; PP 8; Giant; 6; 2300; ; Multiattack. The cyclops makes two greatclub attacks.<br><br>Greatclub. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 19 (3d8 + 6) bludgeoning damage.<br><br>Rock. Ranged Weapon Attack: +9 to hit, range 30/120 ft., one target. Hit: 28 (4d10 + 6) bludgeoning damage.; ; Poor Depth Perception. The cyclops has disadvantage on any attack roll against a target more than 30 feet away.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
